verb,prep,freqNoun,freqVerb,freqComb
ПРЫГАТЬ,ПО,210663,72011,91
ХОТЕТЬ,В,210663,569716,91
НАРВАТЬСЯ,НА,210663,22651,91
СТРОИТЬСЯ,В,210663,86868,90
ПРИХОДИТЬСЯ,ПО,210663,114547,90
ЗАПИСАТЬ,В,210663,213677,90
СОСТОЯТЬ,В,210663,473553,90
СООБЩИТЬ,В,210663,2536261,90
ТОРЧАТЬ,В,210663,122942,89
СИДЕТЬ,ПО,210663,1552440,89
ПОМЕЩАТЬСЯ,В,210663,62325,88
ИНТЕРЕСОВАТЬ,В,210663,93996,87
ПРИСТРОИТЬСЯ,К,210663,18863,86
ПОПАДАТЬ,В,210663,249861,85
ВСПОМИНАТЬ,В,210663,245184,85
КРИКНУТЬ,В,210663,122135,82
БИТЬ,ПО,210663,263558,81
УВИДЕТЬ,В,210663,1503676,81
НОСИТЬ,ПО,210663,566495,81
ПОЙТИ,В,210663,1160508,80
СМОТРЕТЬ,НА,210663,1826817,80
ОБНЯТЬ,ПО,210663,104565,80
ТАНЦЕВАТЬ,ПО,210663,65779,79
БЕГАТЬ,ПО,210663,124279,78
ПЕТЬ,ПО,210663,175614,78
ПЕРЕБИТЬ,В,210663,103284,77
ВХОДИТЬ,ПО,210663,780476,77
ИДТИ,В,210663,2732778,76
ЗАДАТЬ,В,210663,171688,76
ЗАГЛЯНУТЬ,ПО,210663,211819,76
ВЕСТИ,ПО,210663,907360,74
ПРИХОДИТЬ,ПО,210663,593265,74
ВСТАВАТЬ,ПО,210663,123623,74
ВЫСТРОИТЬ,В,210663,80615,73
ЖАЛОВАТЬСЯ,НА,210663,100729,73
ПОЗНАКОМИТЬСЯ,В,210663,201988,72
СВЯЗАТЬ,НЕ В,210663,1362256,72
СТОЯТЬ,ПО,210663,1895692,71
ЗАГЛЯНУТЬ,В,210663,211819,68
ПОЛЮБОПЫТСТВОВАТЬ,В,210663,4131,68
СТАНОВИТЬСЯ,ПО,210663,695686,68
ВЕРНУТЬСЯ,В,210663,1351676,67
КОПАТЬ,ПО,210663,18078,67
ЗАОРАТЬ,В,210663,36544,67
ВЗДОХНУТЬ,В,210663,371705,67
СТАНОВИТЬСЯ,НА,210663,695686,66
ЗАНИМАТЬСЯ,ПО,210663,986447,65
ДОБАВЛЯТЬ,В,210663,176404,65
ПРОСИДЕТЬ,В,210663,40297,65
СНИМАТЬСЯ,С,210663,70467,65
ТАЩИТЬ,ПО,210663,68483,64
УКАЗАТЬ,ПО,210663,634172,64
ИДТИ,ВДОЛЬ,210663,2732778,64
ПОЛУЧИТЬ,В,210663,3281968,64
ВЫПИТЬ,ПО,210663,180423,63
ОСТАВАТЬСЯ,В,210663,851043,63
ПРЕДСТАВИТЬСЯ,ПО,210663,75630,63
ПОСМОТРЕТЬ,В,210663,1352306,63
КАРАУЛИТЬ,ПО,210663,8080,63
ДОКЛАДЫВАТЬ,ПО,210663,41726,62
ВСПОМНИТЬ,В,210663,471977,62
ВЗГЛЯНУТЬ,ПО,210663,517856,62
КУРИТЬ,ПО,210663,63280,62
МЫТЬСЯ,ПО,210663,9282,61
УМЕРЕТЬ,В,210663,447397,61
ВЫПОЛНЯТЬ,ПО,210663,317186,60
УДИВЛЯТЬСЯ,В,210663,30573,60
ИСКАТЬ,В,210663,819203,60
ПОЦЕЛОВАТЬ,ПО,210663,79178,60
ПОЛЕЗТЬ,БЕЗ,210663,121873,59
САДИТЬСЯ,ПО,210663,194287,59
УТВЕРЖДАТЬ,В,210663,212801,59
ПРОХОДИТЬ,ПО,210663,938511,58
КИВНУТЬ,В,210663,737156,58
ВЫЗВАТЬ,НЕ В,210663,857411,57
ТРАХАТЬ,ПО,210663,24037,57
ЕЗДИТЬ,ПО,210663,199881,57
ОСТАТЬСЯ,В,210663,1167779,57
НЫРЯТЬ,ПО,210663,15356,57
ПОМЕСТИТЬ,В,210663,190609,57
ПОЛУЧИТЬ,ВНЕ,210663,3281968,57
ОЗНАЧАТЬ,В,210663,257761,57
ЯВЛЯТЬСЯ,В,210663,3365085,56
ПОЯВИТЬСЯ,В,210663,1712736,56
ЗАСТРЯТЬ,В,210663,64621,56
ИДТИ,ПО,210663,2732778,55
РАССМАТРИВАТЬ,В,210663,303388,55
ИНТЕРЕСОВАТЬСЯ,В,210663,127931,55
ЗАГЛЯДЫВАТЬ,ПО,210663,54798,54
ИГРАТЬ,В,210663,918112,54
НАПОМНИТЬ,В,210663,213660,53
МОЧЬ,В,210663,850912,53
СМОТРЕТЬ,В,210663,1826817,52
ПЕРЕСПРОСИТЬ,В,210663,40858,52
ПРЕДЛОЖИТЬ,В,210663,622690,52
ДОГОВОРИТЬСЯ,ПО,210663,145688,51
ПОДРАЗДЕЛЯТЬСЯ,В,210663,10547,51
СОБИРАТЬСЯ,ПО,210663,249938,51
ОТМЕЧАТЬ,В,210663,430086,51
ЗАНИМАТЬСЯ,В,210663,986447,51
ЗАВИСЕТЬ,НЕ В,210663,343524,50
ОБЪЯСНЯТЬСЯ,НЕ В,210663,54867,50
ИЗБАВИТЬСЯ,ОТ,210663,126845,50
СДЕЛАТЬ,В,210663,2688427,49
СОГЛАСИТЬСЯ,В,210663,603825,49
ВОЛНОВАТЬ,В,210663,46521,49
ПРИНИМАТЬ,ПО,210663,946204,49
ОБУСЛОВИТЬ,НЕ В,210663,174986,49
МЕНЯТЬСЯ,ПО,210663,112631,49
ПОЯВЛЯТЬСЯ,ПО,210663,440146,49
ПРИНЯТЬ,БЕЗ,210663,2446695,49
ПОДОЙТИ,В,210663,1011760,49
ХОТЕТЬСЯ,В,210663,73906,48
ПОТРЕБОВАТЬ,В,210663,239412,48
ПОЖАТЬ,ПО,210663,881100,48
ПОДНИМАТЬСЯ,ПО,210663,295650,48
НАПОРОТЬСЯ,НА,210663,12871,48
ПРОЙТИ,МИМО,210663,1295429,48
ОБИДЕТЬСЯ,В,210663,36969,48
СХОДИТЬ,ПО,210663,214068,48
РАССЕРДИТЬСЯ,В,210663,18262,47
НАБЛЮДАТЬ,ПО,210663,308813,47
ПРИКЛАДЫВАТЬСЯ,ПО,210663,7469,47
УСТАВИТЬСЯ,В,210663,196459,47
КАТАТЬСЯ,ПО,210663,57704,46
ПРОИЗНЕСТИ,В,210663,784042,46
ПОДНИМАТЬ,ПО,210663,251070,46
ПРИЗНАТЬСЯ,В,210663,246491,46
СООБЩАТЬ,В,210663,1251997,46
ПОРАЗИТЬСЯ,В,210663,12155,46
РАССКАЗАТЬ,В,210663,905982,46
ВСКРИЧАТЬ,В,210663,25605,46
ОСМОТРЕТЬ,ПО,210663,150990,46
СМОЧЬ,ПО,210663,98925,45
ПРИВОДИТЬ,В,210663,457302,45
ПОПРОБОВАТЬ,ПО,210663,67507,45
БРОСАТЬ,ПО,210663,208420,45
ПОЛУЧАТЬ,В,210663,883886,45
СПУСКАТЬСЯ,ПО,210663,142562,44
СОСТОЯТЬ,НА,210663,473553,44
ПРОДОЛЖАТЬ,ПО,210663,644375,44
ПРОВОДИТЬ,ПО,210663,1208004,44
УХОДИТЬ,ПО,210663,342887,44
ПРИСТРАИВАТЬСЯ,В,210663,2663,43
НАТКНУТЬСЯ,НА,210663,109255,43
ИСПОЛЬЗОВАТЬ,ПО,210663,1431705,43
ЗАСМЕЯТЬСЯ,В,210663,104243,43
СЛУЖИТЬ,ПО,210663,586125,43
ПОДХОДИТЬ,К,210663,383302,43
МОЧЬ,БЕЗ,210663,850912,43
ПРИВЕСТИ,К,210663,919531,43
СТОРОЖИТЬ,ПО,210663,9631,42
СЛЕДИТЬ,ЗА,210663,260823,42
ПОДНЯТЬ,ПО,210663,1607770,42
ОБОЙТИ,ПО,210663,145653,42
УГОДИТЬ,ПОД,210663,84366,42
ТРОИТЬ,ПО,210663,5772,42
ОБЕЩАТЬ,В,210663,175179,42
ОТРЕКОМЕНДОВАТЬ,В,210663,3294,42
ВЗГЛЯНУТЬ,НА,210663,517856,42
ВЫНУДИТЬ,ПО,210663,53111,42
ИДТИ,БЕЗ,210663,2732778,42
ПРИНИМАТЬ,БЕЗ,210663,946204,42
ПРОХОДИТЬ,МИМО,210663,938511,41
ВЫЙТИ,ПО,210663,1529334,41
СТАТЬ,ПО,210663,686138,41
ОТМЕТИТЬ,В,210663,1263077,41
ЗАВИСЕТЬ,В,210663,343524,41
ПОПАСТЬ,БЕЗ,210663,980276,41
ВКЛЮЧИТЬ,В,210663,602609,41
РАССМОТРЕТЬ,ПО,210663,325472,40
МАЯТЬСЯ,В,210663,9461,40
ВЗЯТЬ,В,210663,2235567,40
ПРЕДСЕДАТЕЛЬСТВОВАТЬ,ПО,210663,8201,40
ДАВАТЬ,В,210663,1254195,40
ПРЕДСТАВИТЬ,В,210663,1185156,40
БЫТЬ,БЕЗ,210663,16504392,40
ПУСТИТЬ,БЕЗ,210663,191004,40
ОБХОДИТЬ,ПО,210663,48589,39
УЙТИ,ОТ,210663,626486,39
БЕСПОКОИТЬСЯ,В,210663,47397,39
ВЫЗВАТЬ,ПО,210663,857411,39
ПРИХОДИТЬ,В,210663,593265,39
ОТПРАВИТЬСЯ,В,210663,724410,39
РАССМЕЯТЬСЯ,В,210663,96416,39
УХАЖИВАТЬ,ПО,210663,30262,39
ПОЙТИ,ПО,210663,1160508,39
ОТКРЫВАТЬ,ПО,210663,309305,39
ПРАВИТЬ,ПО,210663,68101,38
НАДЕВАТЬ,ПО,210663,85882,38
УТОЧНИТЬ,В,210663,215427,38
ПРЕВРАТИТЬСЯ,В,210663,434499,37
ЗАПИСЫВАТЬ,В,210663,52037,37
ХМЫКНУТЬ,В,210663,99979,37
ЛЕТАТЬ,ПО,210663,100652,37
ДВИГАТЬСЯ,В,210663,296744,37
ВЫСКАЗЫВАТЬСЯ,ПО,210663,30900,36
РЯВКНУТЬ,В,210663,29601,36
ВСТАВАТЬ,НА,210663,123623,36
НАДЕЯТЬСЯ,В,210663,133380,36
НАПАДАТЬ,ПО,210663,47778,36
ТЯНУТЬ,ПО,210663,164369,36
ОБЯЗАТЬ,ПО,210663,71359,36
КУПИТЬ,БЕЗ,210663,775243,36
ОТВЕТИТЬ,ПО,210663,2124020,36
РАЗОЗЛИТЬСЯ,В,210663,12725,35
НАЗВАТЬСЯ,В,210663,17797,35
ПРЕДСТАВИТЬ,ПО,210663,1185156,35
УПРАВЛЯТЬ,ПО,210663,190940,35
ПРИДТИ,В,210663,275691,35
ГУЛЯТЬ,ПО,210663,109739,35
ВСТРЕТИТЬСЯ,В,210663,443509,35
ПРОДВИНУТЬСЯ,В,210663,18778,34
ВЗЯТЬ,БЕЗ,210663,2235567,34
ПЕРЕХОДИТЬ,ПО,210663,245114,34
СВЯЗАТЬ,В,210663,1362256,34
ЛОЖИТЬСЯ,ПО,210663,83171,34
СЛЕДИТЬ,ПО,210663,260823,34
ПЕРЕЙТИ,В,210663,445514,34
ЕХАТЬ,ПО,210663,430641,34
УСЛЫШАТЬ,В,210663,657759,34
ЖИТЬ,ПО,210663,945973,34
ПОДНЯТЬСЯ,В,210663,740995,34
РЕШИТЬ,В,210663,472473,33
ОБНЯТЬСЯ,ПО,210663,5197,33
ОТОЙТИ,ОТ,210663,202976,33
ВЫЙТИ,В,210663,1529334,33
ПРИЕЗЖАТЬ,ПО,210663,157449,33
КРИЧАТЬ,ПО,210663,134183,33
СЛИТЬСЯ,В,210663,42627,33
ПРОТОРЧАТЬ,В,210663,3674,33
УКАЗАТЬ,НА,210663,634172,32
СЛЕДОВАТЬ,ПО,210663,314058,32
МЕРЗНУТЬ,В,210663,7172,32
СНИМАТЬ,ПО,210663,286926,32
СКАЗАТЬ,ПО,210663,7659823,32
СМУТИТЬСЯ,В,210663,30915,32
ПРОДВИГАТЬСЯ,В,210663,35610,32
НАЖАТЬ,ПО,210663,229456,32
НАЗЫВАТЬ,ПО,210663,535788,32
НАСИЛОВАТЬ,ПО,210663,12409,32
ОКАЗЫВАТЬСЯ,В,210663,230283,32
ПОТОЛКАТЬСЯ,В,210663,1518,32
ПРОПУСТИТЬ,ВНЕ,210663,160681,32
ИМЕТЬ,В,210663,4883454,32
НОЧЕВАТЬ,ПО,210663,37610,32
ОТСТАИВАТЬ,В,210663,26157,32
ПРОБОВАТЬ,ПО,210663,33604,32
ПОМЕЩАТЬ,В,210663,44728,32
ВЗЯТЬ,ПО,210663,2235567,32
ПРОТЯНУТЬ,В,210663,588936,32
ЗАМЕЧАТЬ,В,210663,157259,31
НАЧАТЬСЯ,С,210663,875770,31
ОКАЗАТЬСЯ,НА,210663,1813169,31
ПОКЛОНИТЬСЯ,В,210663,61298,31
ПРОХОДИТЬ,ВНЕ,210663,938511,31
ХОТЕТЬ,ПО,210663,569716,31
ЗАИНТЕРЕСОВАТЬСЯ,В,210663,57356,31
ОТКРЫТЬ,ПО,210663,1671035,31
НАХМУРИТЬСЯ,В,210663,63139,31
ВЕСТИ,В,210663,907360,31
НАСТОЯТЬСЯ,В,210663,621,31
СВЯЗАТЬ,С,210663,1362256,31
ДРЕМАТЬ,ПО,210663,26904,31
ПОЗДОРОВАТЬСЯ,ПО,210663,28343,31
МЫТЬ,ПО,210663,53118,31
ВЫБИРАТЬ,ПО,210663,192604,31
ПРЕДЛАГАТЬ,ПО,210663,379415,31
ВЗЯТЬСЯ,В,210663,228478,30
СООБЩАТЬ,ОБ,210663,1251997,30
ОБЯЗАТЬ,В,210663,71359,30
РОДИТЬСЯ,В,210663,304417,30
ЦЕЛОВАТЬ,ПО,210663,45376,30
ПЫТАТЬСЯ,ПО,210663,50986,30
СТАВИТЬ,ПО,210663,440697,30
ПРЕДЛОЖИТЬ,ПО,210663,622690,30
ПУСКАТЬ,БЕЗ,210663,91359,30
ПОПРОСИТЬ,В,210663,474422,30
ЛЕЗТЬ,ВНЕ,210663,114176,30
МУЧИТЬСЯ,В,210663,36324,30
НУЖДАТЬСЯ,В,210663,309433,30
КИВНУТЬ,ПО,210663,737156,30
ОСТАТЬСЯ,НА,210663,1167779,30
ЗАВОПИТЬ,В,210663,22122,30
ПОЛУЧИТЬ,БЕЗ,210663,3281968,29
ДОБАВЛЯТЬ,ПО,210663,176404,29
ПРОИСХОДИТЬ,В,210663,596752,29
ПОСЕТИТЬ,ПО,210663,243904,29
ПОГЛЯДЕТЬ,ПО,210663,90797,29
ТОПТАТЬСЯ,В,210663,18140,29
ПРОЙТИ,ПО,210663,1295429,29
ВЫКРИКИВАТЬ,ПО,210663,24527,29
ВСТРЕЧАТЬСЯ,ПО,210663,327325,29
УДАРИТЬ,В,210663,362864,29
КРИЧАТЬ,В,210663,134183,29
ОТМЕЧАТЬСЯ,В,210663,258799,29
ДЕЙСТВОВАТЬ,ПО,210663,382299,29
ОКАЗАТЬСЯ,В НАЧАЛЕ,210663,1813169,29
СОБИРАТЬСЯ,В,210663,249938,29
ЗАНИМАТЬ,В,210663,424637,29
ОБРАЩАТЬСЯ,ПО,210663,298417,29
СОЕДИНИТЬ,В,210663,401173,29
РАБОТАТЬ,В,210663,1593272,28
ОБЕДАТЬ,ПО,210663,26617,28
ДОБРАТЬСЯ,В,210663,370154,28
ЗАПИСАТЬСЯ,НА,210663,26919,28
ДОЙТИ,ДО,210663,207410,28
ВЫСТРАИВАТЬ,В,210663,18604,28
АТАКОВАТЬ,ПО,210663,117698,28
ПРЕДСТОЯТЬ,ПО,210663,97438,28
РАЗГОВОРИТЬ,В,210663,9398,28
ИДТИ,ВНЕ,210663,2732778,28
РАССКАЗЫВАТЬ,В,210663,486665,28
ПРИНЯТЬ,ПО,210663,2446695,28
ПОГОВОРИТЬ,В,210663,155605,27
УВЕРНУТЬСЯ,ОТ,210663,11441,27
ДОХОДИТЬ,В,210663,79354,27
БОДРСТВОВАТЬ,ПО,210663,3542,27
ПРОЖДАТЬ,В,210663,4285,27
ВОЙТИ,В,210663,1169413,27
СПРАВЛЯТЬСЯ,С,210663,61178,27
ПОДТВЕРДИТЬ,В,210663,499371,27
ДОБАВЛЯТЬСЯ,В,210663,33620,27
ПРЕДСТАВЛЯТЬ,В,210663,614293,27
ПОСПАТЬ,ПО,210663,7483,27
ПОДНЯТЬСЯ,ПО,210663,740995,27
НАПИСАТЬ,В,210663,995391,27
ПЕРЕДАТЬ,В,210663,696663,27
ПООБЕЩАТЬ,В,210663,135749,27
ВОЙТИ,ПО,210663,1169413,27
БРАТЬ,БЕЗ,210663,449883,26
УБИРАТЬ,ПО,210663,63609,26
РАССКАЗАТЬ,ПО,210663,905982,26
ПИСАТЬ,В,210663,941379,26
РАСТЕРЯТЬСЯ,В,210663,25769,26
ОТОЗВАТЬСЯ,В,210663,311726,26
ПРИНИМАТЬ,ВНЕ,210663,946204,26
ВЗОРВАТЬСЯ,В,210663,89438,26
ВЫТАСКИВАТЬ,ПО,210663,32554,26
НАБЛЮДАТЬ,ЗА,210663,308813,26
СТОЛКНУТЬСЯ,С,210663,214232,26
НАПРАВИТЬСЯ,К,210663,367004,26
СПРАШИВАТЬ,ПО,210663,156680,26
ПРОЙТИ,ВДОЛЬ,210663,1295429,26
ПОСТРОИТЬСЯ,В,210663,7535,26
ВОЗВРАЩАТЬСЯ,В,210663,391234,26
ОБРАТИТЬСЯ,К,210663,707150,26
ДЕЖУРИТЬ,В,210663,35173,26
БОРОТЬСЯ,С,210663,218009,26
РУКОВОДИТЬ,ПО,210663,143479,25
ПРИСМАТРИВАТЬ,ПО,210663,17659,25
ЗАНЯТЬ,В,210663,593852,25
ИЗНАСИЛОВАТЬ,ПО,210663,10711,25
ПРИГЛАШАТЬ,ПО,210663,100881,25
ВЛИТЬСЯ,В,210663,17499,25
ДЕЛАТЬ,В,210663,1265891,25
ПИСАТЬ,ПО,210663,941379,25
НАЗВАТЬ,В,210663,806830,25
ПОДНОСИТЬ,ПО,210663,25329,25
ДРАТЬСЯ,В,210663,46748,25
ЗАЙТИ,ПО,210663,312789,25
ЗАЯВЛЯТЬ,В,210663,116783,25
УХМЫЛЬНУТЬСЯ,В,210663,56535,25
ПОЛОЖИТЬ,БЕЗ,210663,827566,25
ПРОИЗНЕСТИ,ПО,210663,784042,25
ГЛЯНУТЬ,ПО,210663,141089,25
ЗАПОДОЗРИТЬ,В,210663,42445,25
ОБСЛУЖИВАТЬ,БЕЗ,210663,33186,24
ЗАЙТИ,В,210663,312789,24
КОМАНДОВАТЬ,ПО,210663,103495,24
ПРОСКОЧИТЬ,БЕЗ,210663,29636,24
ВЕРНУТЬСЯ,К,210663,1351676,24
УКАЗЫВАТЬ,ПО,210663,211982,24
ПРОВЕСТИ,ПО,210663,1720693,24
СЛЫШАТЬ,В,210663,570359,24
ПОДХОДИТЬ,В,210663,383302,24
ОГЛЯНУТЬСЯ,НА,210663,98094,24
ТОЛОЧЬСЯ,В,210663,5615,24
ДОСТИЧЬ,НЕ В,210663,590710,24
НАЧАТЬСЯ,В,210663,875770,24
ВЛИЯТЬ,В,210663,146292,24
СКУЧАТЬ,В,210663,38010,24
СКОНЧАТЬСЯ,В,210663,124481,24
ПРИНЯТЬ,ВНЕ,210663,2446695,24
СНЯТЬ,В,210663,861454,24
ЗАДАВАТЬ,ПО,210663,175128,24
ПРОВЕРИТЬ,ПО,210663,265080,23
ПОПРАВИТЬ,В,210663,145316,23
ПОСТРОИТЬ,В,210663,583313,23
НАПРАВИТЬСЯ,В,210663,367004,23
ОПЕШИТЬ,В,210663,8770,23
ПРОПУСКАТЬ,ВНЕ,210663,71248,23
ПРИСТРАИВАТЬСЯ,К,210663,2663,23
СОСАТЬ,ПО,210663,25299,23
ОТСИДЕТЬ,В,210663,5927,23
ПРОЙТИ,ВНЕ,210663,1295429,23
СПОСОБСТВОВАТЬ,В,210663,341770,23
НАЖИМАТЬ,ПО,210663,44892,23
ДОСТОЯТЬСЯ,В,210663,54,23
УСПЕТЬ,ПО,210663,149742,23
ПОСИДЕТЬ,В,210663,41337,23
ВЫСТУПИТЬ,ПО,210663,502015,23
ПОКАЗЫВАТЬ,ПО,210663,385626,23
СПИТЬ,ПО,210663,48815,23
ОТПРАВИТЬ,В,210663,570282,23
НАПАСТЬ,В,210663,114274,23
ОБРАДОВАТЬСЯ,В,210663,65179,23
ЗАГОВОРИТЬ,В,210663,209611,23
ПРИНЯТЬ,В,210663,2446695,23
ПРЕДОСТАВИТЬ,ВНЕ,210663,329316,23
ОХРАНЯТЬ,ПО,210663,60568,23
ОБЯЗАТЬ,НЕ В,210663,71359,22
ПРОВЕРИТЬ,В,210663,265080,22
ПОЛОЖИТЬ,В,210663,827566,22
ПРЕВРАЩАТЬСЯ,В,210663,178349,22
ПОДХОДИТЬ,БЕЗ,210663,383302,22
НАБРАТЬ,ПО,210663,241162,22
РАЗГОВАРИВАТЬ,ПО,210663,170847,22
ЗВОНИТЬ,ПО,210663,154462,22
ОБРАЩАТЬСЯ,В,210663,298417,22
ВЛЕЗАТЬ,БЕЗ,210663,13443,22
СЪЯЗВИТЬ,В,210663,12388,22
УБИТЬ,В,210663,573544,22
ПОКЛОНИТЬСЯ,ПО,210663,61298,22
ВЫЛЕЗАТЬ,ПО,210663,16038,22
ПРОСИТЬ,В,210663,458165,22
РАЗДЕЛЯТЬСЯ,В,210663,15916,22
СДЕЛАТЬ,ПО,210663,2688427,22
СЛУЖИТЬ,В,210663,586125,22
ПОБЛАГОДАРИТЬ,В,210663,92619,22
РАССМАТРИВАТЬ,ПО,210663,303388,21
ПРИВЕСТИ,В,210663,919531,21
ИСПУГАТЬСЯ,В,210663,51928,21
ОТКРЫТЬ,В,210663,1671035,21
БЫТЬ,ВНЕ,210663,16504392,21
КОСНУТЬСЯ,ПО,210663,213239,21
ВСПЫЛИТЬ,В,210663,4226,21
ВЫБИРАТЬСЯ,ПО,210663,35836,21
ПОДЪЕЗЖАТЬ,ПО,210663,31609,21
КИВНУТЬ,НА,210663,737156,21
ХОТЕТЬ,БЕЗ,210663,569716,21
ПОНЕСТИ,ПО,210663,89447,21
ТЕРЯТЬ,В,210663,355187,21
ВСТРЕТИТЬ,В,210663,460413,21
ИСПОЛНЯТЬ,ПО,210663,116283,21
СПУСТИТЬСЯ,ПО,210663,270646,21
ПОДЕЛИТЬСЯ,В,210663,123329,21
