Verb,Prep
анализироваться,
артикулироваться,
артикулироваться,как
беспокоить,
биться,над
будировать,
быть,
видеть,
возвратиться,к
возникнуть,
волновать,
волноваться,из-за
встать,
выговориться,о
выдвинуть,
выделить,в
вырисовываться,
высказаться,по
выступить,по
готовиться,к
делать,
дискутировать,по
думать,над
думать,о
есть,
завуалировать,
задуматься,над
задуматься,о
заинтересоваться,
заключаться,
заметить,в связи с
заняться,
заострить,
застопориться,из-за
затрагиваться,
затронуть,
затушевать,
знать,
изложить,
изучить,
иметься,
интересоваться,
исчезнуть,
коснуться,
крыться,
нависнуть,
навязать,
назреть,
наметиться,
недопонимать,
обдумать,
обнаружить,
обозначиться,
обратить,внимание к
обратить,внимание на
обратиться,к
обсудить,
обсуждаться,
озаботиться,
ознакомиться,с
оказаться,
осветить,
освещаться,
освоить,
остановиться,на
остаться,
откреститься,от
отнестись,к
охватить,
переключиться,на
перенацелиться,на
поднять,
подумать,относительно
подходить,к
подымать,
познакомиться,с
полемизировать,по
понимать,
понять,
породить,
посвятить,
посоветоваться,о
посоветоваться,по поводу
поставить,
появиться,
представляться,
преподнести,под ракурсом
приобрести,
проанализировать,
пробиться,над
проконопатиться,с
проработать,
работать,над
разбираться,
разобрать,
разобраться,в
разобраться,с
разориться,из-за
разработать,
разрешить,
раскрываться,
раскрыть,
рассматриваться,
рассмотреть,
рассуждать,относительно
решиться,
свалить,
связать,с
связать,
связывать,с
связывать,
сконцентрироваться,на
скоординироваться,по поводу
смикшировать,
снять,
советоваться,только по поводу
создать,
составлять,
состоять,
справиться,с
ставиться,
стать,
стоить,
столкнуться,с
стоять,
стоять,перед
страдать,из-за
существовать,
сформулировать,
считаться,
требовать,
трезвонить,о
трепыхаться,по поводу
уделить,внимание
упоминаться,
упроститься,
упрощать,
урегулироваться,
усвоить,
усложняться,
усмотреться,
устранить,
устраняться,
учесть,
формулироваться,
явиться,
